date_id;year;month;day;day_of_week;week
20171125;2017;11;25;7;47
20171126;2017;11;26;1;48
20171127;2017;11;27;2;48
20171128;2017;11;28;3;48
20171129;2017;11;29;4;48
20171130;2017;11;30;5;48
20171201;2017;12;1;6;48
20171202;2017;12;2;7;48
20171203;2017;12;3;1;49
20171204;2017;12;4;2;49
20171205;2017;12;5;3;49
20171206;2017;12;6;4;49
20171207;2017;12;7;5;49
20171208;2017;12;8;6;49
20171209;2017;12;9;7;49
20171210;2017;12;10;1;50
20171211;2017;12;11;2;50
20171212;2017;12;12;3;50
20171213;2017;12;13;4;50
20171214;2017;12;14;5;50
20171215;2017;12;15;6;50
20171216;2017;12;16;7;50
20171217;2017;12;17;1;51
20171218;2017;12;18;2;51
20171219;2017;12;19;3;51
20171220;2017;12;20;4;51
20171221;2017;12;21;5;51
20171222;2017;12;22;6;51
20171223;2017;12;23;7;51
20171224;2017;12;24;1;52
20171225;2017;12;25;2;52
20171226;2017;12;26;3;52
20171227;2017;12;27;4;52
20171228;2017;12;28;5;52
20171229;2017;12;29;6;52
20171230;2017;12;30;7;52
20171231;2017;12;31;1;1
20180101;2018;1;1;2;1
20180102;2018;1;2;3;1
20180103;2018;1;3;4;1
20180104;2018;1;4;5;1
20180105;2018;1;5;6;1
20180106;2018;1;6;7;1
20180107;2018;1;7;1;2
20180108;2018;1;8;2;2
20180109;2018;1;9;3;2
20180110;2018;1;10;4;2
20180111;2018;1;11;5;2
20180112;2018;1;12;6;2
20180113;2018;1;13;7;2
20180114;2018;1;14;1;3
20180115;2018;1;15;2;3
20180116;2018;1;16;3;3
20180117;2018;1;17;4;3
20180118;2018;1;18;5;3
20180119;2018;1;19;6;3
20180120;2018;1;20;7;3
20180121;2018;1;21;1;4
20180122;2018;1;22;2;4
20180123;2018;1;23;3;4
20180124;2018;1;24;4;4
20180125;2018;1;25;5;4
20180126;2018;1;26;6;4
20180127;2018;1;27;7;4
20180128;2018;1;28;1;5
20180129;2018;1;29;2;5
20180130;2018;1;30;3;5
20180131;2018;1;31;4;5
20180201;2018;2;1;5;5
20180202;2018;2;2;6;5
20180203;2018;2;3;7;5
20180204;2018;2;4;1;6
20180205;2018;2;5;2;6
20180206;2018;2;6;3;6
20180207;2018;2;7;4;6
20180208;2018;2;8;5;6
20180209;2018;2;9;6;6
20180210;2018;2;10;7;6
20180211;2018;2;11;1;7
20180212;2018;2;12;2;7
20180213;2018;2;13;3;7
20180214;2018;2;14;4;7
20180215;2018;2;15;5;7
20180216;2018;2;16;6;7
20180217;2018;2;17;7;7
20180218;2018;2;18;1;8
20180219;2018;2;19;2;8
20180220;2018;2;20;3;8
20180221;2018;2;21;4;8
20180222;2018;2;22;5;8
20180223;2018;2;23;6;8
20180224;2018;2;24;7;8
20180225;2018;2;25;1;9
20180226;2018;2;26;2;9
20180227;2018;2;27;3;9
20180228;2018;2;28;4;9
20180301;2018;3;1;5;9
20180302;2018;3;2;6;9
20180303;2018;3;3;7;9
20180304;2018;3;4;1;10
20180305;2018;3;5;2;10
20180306;2018;3;6;3;10
20180307;2018;3;7;4;10
20180308;2018;3;8;5;10
20180309;2018;3;9;6;10
20180310;2018;3;10;7;10
20180311;2018;3;11;1;11
20180312;2018;3;12;2;11
20180313;2018;3;13;3;11
20180314;2018;3;14;4;11
20180315;2018;3;15;5;11
20180316;2018;3;16;6;11
20180317;2018;3;17;7;11
20180318;2018;3;18;1;12
20180319;2018;3;19;2;12
20180320;2018;3;20;3;12
20180321;2018;3;21;4;12
20180322;2018;3;22;5;12
20180323;2018;3;23;6;12
20180324;2018;3;24;7;12
20180325;2018;3;25;1;13
20180326;2018;3;26;2;13
20180327;2018;3;27;3;13
20180328;2018;3;28;4;13
20180329;2018;3;29;5;13
20180330;2018;3;30;6;13
20180331;2018;3;31;7;13
20180401;2018;4;1;1;14
20180402;2018;4;2;2;14
20180403;2018;4;3;3;14
20180404;2018;4;4;4;14
20180405;2018;4;5;5;14
20180406;2018;4;6;6;14
20180407;2018;4;7;7;14
20180408;2018;4;8;1;15
20180409;2018;4;9;2;15
20180410;2018;4;10;3;15
20180411;2018;4;11;4;15
20180412;2018;4;12;5;15
20180413;2018;4;13;6;15
20180414;2018;4;14;7;15
20180415;2018;4;15;1;16
20180416;2018;4;16;2;16
20180417;2018;4;17;3;16
20180418;2018;4;18;4;16
20180419;2018;4;19;5;16
20180420;2018;4;20;6;16
20180421;2018;4;21;7;16
20180422;2018;4;22;1;17
20180423;2018;4;23;2;17
20180424;2018;4;24;3;17
20180425;2018;4;25;4;17
20180426;2018;4;26;5;17
20180427;2018;4;27;6;17
20180428;2018;4;28;7;17
20180429;2018;4;29;1;18
20180430;2018;4;30;2;18
20180501;2018;5;1;3;18
20180502;2018;5;2;4;18
20180503;2018;5;3;5;18
20180504;2018;5;4;6;18
20180505;2018;5;5;7;18
20180506;2018;5;6;1;19
20180507;2018;5;7;2;19
20180508;2018;5;8;3;19
20180509;2018;5;9;4;19
20180510;2018;5;10;5;19
20180511;2018;5;11;6;19
20180512;2018;5;12;7;19
20180513;2018;5;13;1;20
20180514;2018;5;14;2;20
20180515;2018;5;15;3;20
20180516;2018;5;16;4;20
20180517;2018;5;17;5;20
20180518;2018;5;18;6;20
20180519;2018;5;19;7;20
20180520;2018;5;20;1;21
20180521;2018;5;21;2;21
20180522;2018;5;22;3;21
20180523;2018;5;23;4;21
20180524;2018;5;24;5;21
20180525;2018;5;25;6;21
20180526;2018;5;26;7;21
20180527;2018;5;27;1;22
20180528;2018;5;28;2;22
20180529;2018;5;29;3;22
20180530;2018;5;30;4;22
20180531;2018;5;31;5;22
20180601;2018;6;1;6;22
20180602;2018;6;2;7;22
20180603;2018;6;3;1;23
20180604;2018;6;4;2;23
20180605;2018;6;5;3;23
20180606;2018;6;6;4;23
20180607;2018;6;7;5;23
20180608;2018;6;8;6;23
20180609;2018;6;9;7;23
20180610;2018;6;10;1;24
20180611;2018;6;11;2;24
20180612;2018;6;12;3;24
20180613;2018;6;13;4;24
20180614;2018;6;14;5;24
20180615;2018;6;15;6;24
20180616;2018;6;16;7;24
20180617;2018;6;17;1;25
20180618;2018;6;18;2;25
20180619;2018;6;19;3;25
20180620;2018;6;20;4;25
20180621;2018;6;21;5;25
20180622;2018;6;22;6;25
20180623;2018;6;23;7;25
20180624;2018;6;24;1;26
20180625;2018;6;25;2;26
20180626;2018;6;26;3;26
20180627;2018;6;27;4;26
20180628;2018;6;28;5;26
20180629;2018;6;29;6;26
20180630;2018;6;30;7;26
20180701;2018;7;1;1;27
20180702;2018;7;2;2;27
20180703;2018;7;3;3;27
20180704;2018;7;4;4;27
20180705;2018;7;5;5;27
20180706;2018;7;6;6;27
20180707;2018;7;7;7;27
20180708;2018;7;8;1;28
20180709;2018;7;9;2;28
20180710;2018;7;10;3;28
